 Code | Word | Frequency 
1:   34034
899: Nantucketer 4
900: feels 4
901: truly 4
902: glory 4
903: lance 4
904: doubtless 4
905: wholly 4
906: stuff 4
907: tormented 4
908: finally 4
909: leaping 4
910: Thus 4
911: subsequent 4
912: moored 4
913: possibly 4
914: beating 4
915: rolling 4
916: COUNTERPANE 4
917: embark 4
918: leg 4
919: touch 4
920: spot 4
921: break 4
922: sit 4
923: foam 4
924: dis 4
925: thence 4
926: arrived 4
927: True 4
928: drew 4
929: History 4
930: English 4
931: empty 4
932: sides 4
933: royal 4
934: confidential 4
935: Mr 4
936: fail 4
937: original 4
938: wash 4
939: mild 4
940: curiosity 4
941: glasses 4
942: experienced 4
943: understand 4
944: mortal 4
945: counterpane 4
946: stage 4
947: step 4
948: sabbee 4
949: frost 4
950: BAG 4
951: tried 4
952: ran 4
953: bow 4
954: purpose 4
955: CARPET 4
956: Where 4
957: CHAPEL 4
958: state 4
959: common 4
960: stained 4
961: weight 4
962: skin 4
963: ay 4
964: wonder 4
965: wish 4
966: V 4
967: peddling 4
968: maketh 4
969: serious 4
970: containing 4
971: talk 4
972: power 4
973: lead 4
974: England 4
975: dangerous 4
976: lies 4
977: stranded 4
978: ment 4
979: Whaling 4
980: boarders 4
981: blows 4
982: savages 4
983: paid 4
984: tail 4
985: silver 4
986: HIS 4
987: clear 4
988: receiving 4
989: learn 4
990: E 4
991: fixed 4
992: Which 4
993: wedding 4
994: crew 4
995: dumplings 4
996: sweet 4
997: knows 4
998: single 4
999: whatever 4
1000: grass 4
1001: ancient 4
1002: read 4
1003: touching 4
1004: human 4
1005: ears 4
1006: third 4
1007: presently 4
1008: lying 4
1009: chimney 4
1010: tempest 4
1011: really 4
1012: completely 4
1013: watery 4
1014: shipping 4
1015: worship 4
1016: spend 4
1017: resolved 4
1018: box 4
1019: settle 4
1020: Supper 4
1021: tablets 4
1022: rope 4
1023: line 4
1024: Lazarus 4
1025: lives 4
1026: ashes 4
1027: age 4
1028: ah 4
1029: flying 4
1030: turning 4
1031: cloth 4
1032: owners 4
1033: colour 4
1034: bred 4
1035: travel 4
1036: fancy 4
1037: American 4
1038: thirty 4
1039: south 4
1040: monkey 4
1041: places 4
1042: wrinkled 4
1043: didn 4
1044: mass 4
1045: observing 4
1046: suddenly 4
1047: women 4
1048: bloom 4
1049: space 4
1050: running 4
1051: touched 4
1052: fugitive 4
1053: unaccountable 4
1054: plan 4
1055: seeming 4
1056: peculiarities 4
1057: darted 4
1058: please 4
1059: preacher 4
1060: stroll 4
1061: beyond 4
1062: monster 4
1063: received 4
1064: content 4
1065: blackness 4
1066: prepared 4
1067: flame 4
1068: biscuit 4
1069: anchor 4
1070: Joppa 4
1071: fully 4
1072: circumstances 4
1073: trees 4
1074: meanwhile 4
1075: jolly 4
1076: easy 4
1077: Nor 4
1078: dry 4
1079: Ocean 4
1080: whenever 4
1081: probably 4
1082: native 4
1083: unknown 4
1084: floating 4
1085: While 4
1086: worse 4
1087: bill 4
1088: sober 4
1089: WHEELBARROW 4
1090: quarter 4
1091: stream 4
1092: cannibals 4
1093: forward 4
1094: T 4
1095: tattooed 4
1096: showed 4
1097: quantity 4
1098: CHOWDER 4
1099: generally 4
1100: From 4
1101: similar 4
1102: bumpkin 4
1103: main 4
1104: thy 4
1105: themselves 4
1106: lo 4
1107: plain 4
1108: opened 4
1109: ease 4
1110: won 4
1111: breath 4
1112: High 4
1113: pleasant 4
1114: Life 4
1115: Cadiz 4
1116: creatures 4
1117: THIS 4
1118: Priest 4
1119: Go 3
1120: Narrative 3
1121: wake 3
1122: tempestuous 3
1123: yonder 3
1124: destroyed 3
1125: aloft 3
1126: Nan 3
1127: sharp 3
1128: pitched 3
1129: outside 3
1130: tanning 3
1131: pass 3
1132: purplish 3
1133: terrible 3
1134: sing 3
1135: cheeks 3
1136: pushed 3
1137: < 3
1138: horns 3
1139: honest 3
1140: unearthly 3
1141: complexion 3
1142: front 3
1143: TO 3
1144: hot 3
1145: loud 3
1146: noticed 3
1147: infallibly 3
1148: mysterious 3
1149: puff 3
1150: beaver 3
1151: singing 3
1152: surprise 3
1153: Had 3
1154: sees 3
1155: sore 3
1156: created 3
1157: comfortable 3
1158: papers 3
1159: seaman 3
1160: burnt 3
1161: lurked 3
1162: north 3
1163: Right 3
1164: tide 3
1165: love 3
1166: stuck 3
1167: representing 3
1168: After 3
1169: duty 3
1170: cottage 3
1171: undressed 3
1172: hints 3
1173: blowing 3
1174: children 3
1175: path 3
1176: observed 3
1177: hill 3
1178: persons 3
1179: cries 3
1180: year 3
1181: breaking 3
1182: noise 3
1183: replied 3
1184: Bulkington 3
1185: hell 3
1186: winter 3
1187: favourite 3
1188: minutes 3
1189: scene 3
1190: knocking 3
1191: bird 3
1192: midst 3
1193: die 3
1194: BIOGRAPHICAL 3
1195: design 3
1196: final 3
1197: haunts 3
1198: deeply 3
1199: dam 3
1200: spring 3
1201: dost 3
1202: m 3
1203: peculiar 3
1204: French 3
1205: hole 3
1206: insular 3
1207: fancied 3
1208: feelings 3
1209: degree 3
1210: surprising 3
1211: rear 3
1212: hammock 3
1213: apartment 3
1214: kings 3
1215: fell 3
1216: inn 3
1217: private 3
1218: NIGHTGOWN 3
1219: gathered 3
1220: remotest 3
1221: fingers 3
1222: jackets 3
1223: couldn 3
1224: trying 3
1225: knife 3
1226: shelf 3
1227: carved 3
1228: ready 3
1229: decent 3
1230: AHAB 3
1231: angle 3
1232: goin 3
1233: pooneer 3
1234: throw 3
1235: number 3
1236: measure 3
1237: swift 3
1238: gladly 3
1239: meridians 3
1240: Labrador 3
1241: clean 3
1242: NANTUCKET 3
1243: ask 3
1244: somewhat 3
1245: damp 3
1246: struck 3
1247: mounted 3
1248: pitch 3
1249: bad 3
1250: Was 3
1251: stiff 3
1252: woollen 3
1253: offing 3
1254: upright 3
1255: company 3
1256: harpoons 3
1257: drab 3
1258: em 3
1259: whittling 3
1260: stories 3
1261: tears 3
1262: yea 3
1263: gods 3
1264: broke 3
1265: possessed 3
1266: conscience 3
1267: fiery 3
1268: guess 3
1269: bedfellow 3
1270: marchant 3
1271: shouted 3
1272: reeling 3
1273: frozen 3
1274: yes 3
1275: sometimes 3
1276: restless 3
1277: prairie 3
1278: regarded 3
1279: Dives 3
1280: different 3
1281: Would 3
1282: flukes 3
1283: pays 3
1284: mystery 3
1285: forever 3
1286: otherwise 3
1287: indifference 3
1288: corn 3
1289: plenty 3
1290: affection 3
1291: morrow 3
1292: afterward 3
1293: Zealand 3
1294: Seas 3
1295: ve 3
1296: lights 3
1297: safe 3
1298: PULPIT 3
1299: beach 3
1300: puzzled 3
1301: Cruise 3
1302: soft 3
1303: sake 3
1304: horrid 3
1305: Dost 3
1306: knot 3
1307: limber 3
1308: lightning 3
1309: perpendicular 3
1310: rush 3
